chr	start	end	name	score	strand	gc	gc_bin	chrom	feature_id	feature_bin	feature_type_top	feature_types	gene_name	gene_id	transcript_ids	gene_type_top	transcript_type_top	gene_types	transcript_types	input_sum	clip_sum	enrichment_n	enrichment_l2or_min	enrichment_l2or_mean	enrichment_l2or_max	p_max	p_min	q_max	q_min
chr13	91351339	91351435	4087744	0	+	0.395833	(0.38,0.41]	chr13	418346	18	EXON_MRNA	EXON_MRNA:INTRON	MIR17HG	ENSG00000215417.13	ENST00000400282.6:ENST00000582141.5	lncRNA	retained_intron	lncRNA	retained_intron:lncRNA	2	2236	2	11.1399	11.19115	11.2424	1e-12	1e-12	2.67863e-9	1.24148e-9
chr17	82850626	82850726	4973889	0	+	0.58	(0.525,0.58]	chr17	517786	353	INTRON	INTRON	TBCD	ENSG00000141556.22	ENST00000683009.1:ENST00000539345.6	protein_coding	protein_coding	protein_coding	protein_coding:processed_transcript	2	2557	2	10.598	10.9329	11.2678	1e-12	1e-12	2.67863e-9	1.24148e-9
chr2	10336205	10336305	539932	0	+	0.35	(0.32,0.35]	chr2	66730	56	INTRON	INTRON	HPCAL1	ENSG00000115756.13	ENST00000307845.8:ENST00000622018.4	protein_coding	protein_coding	protein_coding	protein_coding	14	3761	2	9.68062	10.15236	10.6241	1e-12	1e-12	2.67863e-9	1.24148e-9
chr22	49527208	49527308	5680845	0	-	0.44	(0.41,0.444]	chr22	617478	856	INTRON	INTRON	C22orf34	ENSG00000188511.12	ENST00000414287.5	lncRNA	lncRNA	lncRNA	lncRNA	16	5254	2	9.46145	10.134825	10.8082	1e-12	1e-12	2.67863e-9	1.24148e-9
chr2	10336105	10336205	539931	0	+	0.37	(0.35,0.38]	chr2	66730	55	INTRON	INTRON	HPCAL1	ENSG00000115756.13	ENST00000307845.8:ENST00000622018.4	protein_coding	protein_coding	protein_coding	protein_coding	22	5651	2	9.47804	10.04302	10.608	1e-12	1e-12	2.67863e-9	1.24148e-9
chr13	91350566	91350663	4087736	0	+	0.402062	(0.38,0.41]	chr13	418346	10	EXON_MRNA	EXON_MRNA:EXON_LNCRNA:SS5_PROX:INTRON	MIR17HG	ENSG00000215417.13	ENST00000400282.6:ENST00000582141.5:ENST00000659898.1	lncRNA	retained_intron	lncRNA	retained_intron:lncRNA	0	445	2	9.83126	9.99128	10.1513	1e-12	1e-12	2.67863e-9	1.24148e-9
chr22	49527408	49527508	5680847	0	-	0.41	(0.38,0.41]	chr22	617478	858	INTRON	INTRON	C22orf34	ENSG00000188511.12	ENST00000414287.5	lncRNA	lncRNA	lncRNA	lncRNA	32	8129	2	9.30381	9.944405	10.585	1e-12	1e-12	2.67863e-9	1.24148e-9
chr22	46605866	46605966	5626481	0	+	0.54	(0.525,0.58]	chr22	610497	282	INTRON	INTRON	GRAMD4	ENSG00000075240.17	ENST00000447351.5:ENST00000431155.1	protein_coding	protein_coding	protein_coding	protein_coding	0	497	2	9.52817	9.848685	10.1692	1e-12	1e-12	2.67863e-9	1.24148e-9
chr17	82850526	82850626	4973888	0	+	0.52	(0.48,0.525]	chr17	517786	352	INTRON	INTRON	TBCD	ENSG00000141556.22	ENST00000683009.1:ENST00000539345.6	protein_coding	protein_coding	protein_coding	protein_coding:processed_transcript	14	4208	2	8.96461	9.793804999999999	10.623	1e-12	1e-12	2.67863e-9	1.24148e-9
chr16	85646162	85646261	4748920	0	+	0.474747	(0.444,0.48]	chr16	486041	117	INTRON	INTRON	GSE1	ENSG00000131149.19	ENST00000635906.1:ENST00000253458.12	protein_coding	protein_coding	protein_coding	protein_coding	12	3454	2	9.41707	9.784585	10.1521	1e-12	1e-12	2.67863e-9	1.24148e-9
