chr	start	end	name	score	strand	gc	gc_bin	chrom	feature_id	feature_bin	feature_type_top	feature_types	gene_name	gene_id	transcript_ids	gene_type_top	transcript_type_top	gene_types	transcript_types	input_sum	clip_sum	enrichment_n	enrichment_l2or_min	enrichment_l2or_mean	enrichment_l2or_max	p_max	p_min	q_max	q_min
chr4	108652202	108652256	1518247	0	+	0.462963	(0.45,0.49]	chr4	159696	2	EXON_SMALL	EXON_SMALL:INTRON	OSTC:RNU6-431P	ENSG00000198856.13:ENSG00000206601.1	ENST00000613215.4:ENST00000361564.9:ENST00000512478.2:ENST00000383874.1	snRNA	snRNA	snRNA:protein_coding	snRNA:protein_coding	0	344	2	8.8622	9.45265	10.0431	1e-12	1e-12	2.4862e-9	1.25805e-9
chr9	124887453	124887552	3220008	0	-	0.414141	(0.384,0.414]	chr9	316801	45	INTRON	INTRON	GOLGA1	ENSG00000136935.14	ENST00000373555.9	protein_coding	protein_coding	protein_coding	protein_coding	2	491	2	8.76428	8.925004999999999	9.08573	1e-12	1e-12	2.4862e-9	1.25805e-9
chr16	23689393	23689492	4671571	0	+	0.555556	(0.53,0.586]	chr16	478226	1	SSB_ADJ	SSB_ADJ:SS3_ADJ:SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	PLK1	ENSG00000166851.15	ENST00000300093.9	protein_coding	protein_coding	protein_coding	protein_coding	0	213	2	8.45701	8.66152	8.86603	1e-12	1e-12	2.4862e-9	1.25805e-9
chr4	109992377	109992431	1520910	0	+	0.5	(0.49,0.53]	chr4	159943	2	EXON_SMALL	EXON_SMALL	RNU6-35P	ENSG00000207260.1	ENST00000384530.1	snRNA	snRNA	snRNA	snRNA	0	184	2	8.38609	8.606175	8.82626	1e-12	1e-12	2.4862e-9	1.25805e-9
chr8	9772158	9772258	2752938	0	+	0.35	(0.323,0.354]	chr8	272978	15	INTRON	INTRON	TNKS	ENSG00000173273.16	ENST00000310430.11:ENST00000518281.5	protein_coding	protein_coding	protein_coding	protein_coding	0	139	2	8.36089	8.439969999999999	8.51905	1e-12	1e-12	2.4862e-9	1.25805e-9
chr8	9772058	9772158	2752937	0	+	0.56	(0.53,0.586]	chr8	272978	14	INTRON	INTRON	TNKS	ENSG00000173273.16	ENST00000310430.11:ENST00000518281.5	protein_coding	protein_coding	protein_coding	protein_coding	0	182	2	8.1755	8.427164999999999	8.67883	1e-12	1e-12	2.4862e-9	1.25805e-9
chr19	58549650	58549736	5301707	0	+	0.546512	(0.53,0.586]	chr19	564639	1	EXON_MRNA	EXON_MRNA:SSB_ADJ:SS3_ADJ:SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	TRIM28	ENSG00000130726.12	ENST00000253024.10:ENST00000341753.10:ENST00000597136.1:ENST00000595974.5:ENST00000598355.1	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron	2	392	2	8.16785	8.3133	8.45875	1e-12	1e-12	2.4862e-9	1.25805e-9
chr1	245043999	245044099	265747	0	+	0.29	[0,0.29]	chr1	31897	263	INTRON	INTRON	EFCAB2	ENSG00000203666.12	ENST00000366523.5:ENST00000366521.7:ENST00000487845.5:ENST00000549220.5	protein_coding	protein_coding	protein_coding	protein_coding:processed_transcript	0	119	2	7.87454	8.222629999999999	8.57072	1e-12	1e-12	2.4862e-9	1.25805e-9
chr4	102809703	102809791	1664253	0	-	0.261364	[0,0.29]	chr4	172471	1	SSB_ADJ	SSB_ADJ:SS3_ADJ:SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	UBE2D3	ENSG00000109332.20	ENST00000453744.7:ENST00000394803.9:ENST00000394801.8:ENST00000343106.9:ENST00000508474.5:ENST00000503742.5:ENST00000321805.11:ENST00000350435.11:ENST00000338145.7:ENST00000349311.12:ENST00000505207.5:ENST00000505307.5:ENST00000508476.5:ENST00000503282.1	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron:nonsense_mediated_decay	0	102	2	7.62572	7.995285000000001	8.36485	1e-12	1e-12	2.4862e-9	1.25805e-9
chr15	34360010	34360110	4527022	0	-	0.56	(0.53,0.586]	chr15	460817	1	SS5_ADJ	SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	LPCAT4	ENSG00000176454.14	ENST00000314891.11	protein_coding	protein_coding	protein_coding	protein_coding	0	130	2	7.74912	7.951715	8.15431	1e-12	1e-12	2.4862e-9	1.25805e-9
chr19	35009329	35009422	5262040	0	+	0.623656	(0.586,1]	chr19	556808	1	SSB_ADJ	SSB_ADJ:SS3_ADJ:SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	GRAMD1A	ENSG00000089351.15	ENST00000680623.1:ENST00000603669.5:ENST00000424536.2	protein_coding	protein_coding	protein_coding	protein_coding:processed_transcript	0	183	2	7.681	7.869125	8.05725	1e-12	1e-12	2.4862e-9	1.25805e-9
chr6	32974865	32974920	2091896	0	+	0.509091	(0.49,0.53]	chr6	212702	1	SSB_PROX	SSB_PROX:SS3_PROX:SS5_PROX:INTRON	BRD2	ENSG00000204256.14	ENST00000469132.2:ENST00000678250.1:ENST00000677085.1:ENST00000679099.1:ENST00000464592.6:ENST00000607833.5:ENST00000449025.5:ENST00000463639.2	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron:nonsense_mediated_decay:processed_transcript	0	100	2	7.58196	7.7385	7.89504	1e-12	1e-12	2.4862e-9	1.25805e-9
chr4	39297604	39297657	1600333	0	-	0.471698	(0.45,0.49]	chr4	166975	1	EXON_SMALL	EXON_SMALL:INTRON	RFC1:RNU6-32P	ENSG00000035928.16:ENSG00000206675.1	ENST00000381897.5:ENST00000349703.7:ENST00000383948.1	snRNA	snRNA	snRNA:protein_coding	snRNA:protein_coding	18	1267	2	7.22589	7.711705	8.19752	1e-12	1e-12	2.4862e-9	1.25805e-9
chr11	67429022	67429119	3578420	0	+	0.597938	(0.586,1]	chr11	356471	1	EXON_MRNA	EXON_MRNA:SSB_ADJ:SS3_ADJ:SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	RPS6KB2	ENSG00000175634.15	ENST00000530623.5:ENST00000312629.10:ENST00000525088.5	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron	0	161	2	7.41818	7.673	7.92782	1e-12	1e-12	2.4862e-9	1.25805e-9
chr11	62885357	62885410	3566792	0	+	0.54717	(0.53,0.586]	chr11	353528	1	EXON_MRNA	EXON_MRNA:SSB_ADJ:SS3_ADJ:SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	SLC3A2	ENSG00000168003.18	ENST00000680729.1:ENST00000377890.6:ENST00000538084.2:ENST00000681569.1:ENST00000377891.6:ENST00000377889.6:ENST00000681215.1:ENST00000535296.5:ENST00000680297.1:ENST00000681657.1:ENST00000681563.1:ENST00000680654.1:ENST00000539891.6:ENST00000679594.1:ENST00000457660.6:ENST00000542922.5	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron:processed_transcript	2	264	2	7.11058	7.64738	8.18418	1e-12	1e-12	2.4862e-9	1.25805e-9
chrX	48576419	48576507	5725017	0	+	0.443182	(0.414,0.45]	chrX	621907	1	SSB_ADJ	SSB_ADJ:SS3_ADJ:SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	RBM3	ENSG00000102317.18	ENST00000472897.5:ENST00000376759.8:ENST00000466764.5:ENST00000489344.5:ENST00000376755.1:ENST00000354480.2	protein_coding	protein_coding	protein_coding	protein_coding:processed_transcript	0	89	2	7.57803	7.619555	7.66108	1e-12	1e-12	2.4862e-9	1.25805e-9
chr3	143028410	143028482	1167277	0	+	0.25	[0,0.29]	chr3	128278	1	SSB_ADJ	SSB_ADJ:SS3_ADJ:SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	U2SURP	ENSG00000163714.18	ENST00000488497.7:ENST00000473835.7:ENST00000493598.6:ENST00000463563.6:ENST00000480029.5:ENST00000472373.1	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron:nonsense_mediated_decay	0	80	2	6.94427	7.560130000000001	8.17599	8.86671e-11	1e-12	1.0983e-7	1.25805e-9
chr12	76053110	76053204	3977878	0	-	0.265957	[0,0.29]	chr12	406471	1	SSB_ADJ	SSB_ADJ:SS3_ADJ:SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	NAP1L1	ENSG00000187109.15	ENST00000618691.5:ENST00000552056.5:ENST00000393263.7:ENST00000431879.7:ENST00000547773.5:ENST00000542344.5:ENST00000535020.6:ENST00000549596.5:ENST00000547993.5:ENST00000547529.6:ENST00000548044.5	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron:nonsense_mediated_decay	2	163	2	7.48306	7.55807	7.63308	1e-12	1e-12	2.4862e-9	1.25805e-9
chr15	65553080	65553133	4580592	0	-	0.45283	(0.45,0.49]	chr15	467716	1	EXON_SMALL	EXON_SMALL	RNU6-19P	ENSG00000207449.1	ENST00000384718.1	snRNA	snRNA	snRNA	snRNA	16	995	2	7.15754	7.54852	7.9395	1e-12	1e-12	2.4862e-9	1.25805e-9
chr8	9770961	9771061	2752926	0	+	0.39	(0.384,0.414]	chr8	272978	3	INTRON	INTRON	TNKS	ENSG00000173273.16	ENST00000310430.11:ENST00000518281.5	protein_coding	protein_coding	protein_coding	protein_coding	2	186	2	7.39048	7.5361650000000004	7.68185	1e-12	1e-12	2.4862e-9	1.25805e-9
chr2	152658847	152658947	961959	0	-	0.41	(0.384,0.414]	chr2	107195	1	SS5_ADJ	SS5_ADJ:SS5_PROX:INTRON	PRPF40A	ENSG00000196504.19	ENST00000410080.8:ENST00000471701.1:ENST00000471167.1	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron	0	85	2	7.08836	7.528465	7.96857	1.05465e-11	1e-12	1.86339e-8	1.25805e-9
chr1	248855458	248855557	534072	0	-	0.59596	(0.586,1]	chr1	66116	1	SSB_ADJ	SSB_ADJ:SS3_ADJ:SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	ZNF692	ENSG00000171163.16	ENST00000463519.5:ENST00000306601.9:ENST00000533927.5:ENST00000476503.5:ENST00000451251.5:ENST00000474351.5	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron:nonsense_mediated_decay	0	149	2	7.10377	7.523315	7.94286	1.48601e-11	1e-12	2.53546e-8	1.25805e-9
chr1	42835154	42835254	64324	0	+	0.51	(0.49,0.53]	chr1	9435	1	SS5_ADJ	SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	ERMAP	ENSG00000164010.15	ENST00000372517.8:ENST00000642150.1:ENST00000372514.7:ENST00000328249.3	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron	0	85	2	7.29413	7.498695	7.70326	1e-12	1e-12	2.4862e-9	1.25805e-9
chr1	145994800	145994864	427712	0	-	0.375	(0.354,0.384]	chr1	51961	1	EXON_MRNA	EXON_MRNA:SSB_ADJ:SS3_ADJ:SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	TXNIP	ENSG00000265972.6	ENST00000582401.6:ENST00000488537.1:ENST00000425134.2	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron	4	270	2	6.93557	7.43089	7.92621	1e-12	1e-12	2.4862e-9	1.25805e-9
chr1	42840178	42840269	64380	0	+	0.428571	(0.414,0.45]	chr1	9457	1	SSB_ADJ	SSB_ADJ:SS3_ADJ:SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	ERMAP	ENSG00000164010.15	ENST00000372517.8:ENST00000372514.7:ENST00000328249.3	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron	0	77	2	7.20828	7.40205	7.59582	2.1706e-12	1e-12	2.4862e-9	2.48325e-9
chr16	90156035	90156135	4756453	0	+	0.44	(0.414,0.45]	chr16	487408	184	INTRON	INTRON	FAM157C	ENSG00000260528.5	ENST00000568070.1	lncRNA	lncRNA	lncRNA	lncRNA	0	76	2	7.32948	7.3926	7.45572	1e-12	1e-12	2.4862e-9	1.25805e-9
chr19	3982639	3982706	5311679	0	-	0.537313	(0.53,0.586]	chr19	566813	2	SSB_PROX	SSB_PROX:SS3_PROX:SS5_PROX:INTRON	EEF2	ENSG00000167658.16	ENST00000309311.7	protein_coding	protein_coding	protein_coding	protein_coding	0	88	2	7.05936	7.370855	7.68235	8.88389e-12	1e-12	1.60218e-8	1.25805e-9
chr6	73517934	73517991	2301077	0	-	0.22807	[0,0.29]	chr6	232125	1	UTR3	UTR3:EXON_MRNA:SSB_ADJ:SS3_ADJ:SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	EEF1A1	ENSG00000156508.19	ENST00000676547.1:ENST00000309268.11:ENST00000316292.13:ENST00000331523.7:ENST00000490569.6:ENST00000678515.1:ENST00000676710.1:ENST00000678508.1:ENST00000677236.1:ENST00000455918.2:ENST00000491404.2:ENST00000488500.2:ENST00000495333.6:ENST00000678703.1	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron	0	64	2	7.17386	7.364555	7.55525	7.45082e-12	1e-12	1.37216e-8	1.25805e-9
chr4	108622042	108622104	1518139	0	+	0.306452	(0.29,0.323]	chr4	159671	1	EXON_MRNA	EXON_MRNA:SSB_ADJ:SS3_ADJ:SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	RPL34	ENSG00000109475.17	ENST00000502534.5:ENST00000394667.8:ENST00000394665.5:ENST00000503574.1:ENST00000394668.2:ENST00000504231.1	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron	2	142	2	7.34529	7.36388	7.38247	1e-12	1e-12	2.4862e-9	1.25805e-9
chr2	96865340	96865420	919148	0	-	0.5875	(0.586,1]	chr2	103005	1	SSB_ADJ	SSB_ADJ:SS3_ADJ:SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	SEMA4C	ENSG00000168758.11	ENST00000305476.10:ENST00000482925.5:ENST00000442264.5	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron	0	138	2	6.77091	7.356885	7.94286	3.49303e-10	1e-12	3.61848e-7	1.25805e-9
chr12	54282486	54282572	3821927	0	+	0.302326	(0.29,0.323]	chr12	386099	1	EXON_MRNA	EXON_MRNA:SSB_ADJ:SS3_ADJ:SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	HNRNPA1	ENSG00000135486.19	ENST00000677385.1:ENST00000677375.1:ENST00000676725.1:ENST00000678418.1:ENST00000550482.2:ENST00000340913.11:ENST00000547566.5:ENST00000547708.5:ENST00000679228.1:ENST00000547870.2:ENST00000330752.12:ENST00000547276.5:ENST00000678077.1	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron:nonsense_mediated_decay	2	145	2	6.93158	7.32918	7.72678	1e-12	1e-12	2.4862e-9	1.25805e-9
chr1	58690249	58690339	365619	0	-	0.288889	[0,0.29]	chr1	45965	1	SSB_ADJ	SSB_ADJ:SS3_ADJ:SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	MYSM1	ENSG00000162601.11	ENST00000472487.6	protein_coding	protein_coding	protein_coding	protein_coding	0	62	2	7.17386	7.32469	7.47552	7.45082e-12	1e-12	1.37216e-8	1.25805e-9
chr19	58548639	58548692	5301693	0	+	0.679245	(0.586,1]	chr19	564630	1	SSB_ADJ	SSB_ADJ:SS3_ADJ:SS5_ADJ:SSB_PROX:SS3_PROX:SS5_PROX:INTRON	TRIM28	ENSG00000130726.12	ENST00000253024.10:ENST00000341753.10:ENST00000601150.5:ENST00000597995.1:ENST00000597136.1	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron	0	126	2	7.02033	7.31385	7.60737	3.34671e-11	1e-12	4.97813e-8	1.25805e-9
chr8	9770861	9770961	2752925	0	+	0.38	(0.354,0.384]	chr8	272978	2	INTRON	INTRON	TNKS	ENSG00000173273.16	ENST00000310430.11:ENST00000518281.5	protein_coding	protein_coding	protein_coding	protein_coding	0	66	2	6.95601	7.276905	7.5978	5.49815e-11	1e-12	7.50482e-8	1.25805e-9
