chr	start	end	name	score	strand	gc	gc_bin	chrom	feature_id	feature_bin	feature_type_top	feature_types	gene_name	gene_id	transcript_ids	gene_type_top	transcript_type_top	gene_types	transcript_types	input_sum	clip_sum	enrichment_n	enrichment_l2or_min	enrichment_l2or_mean	enrichment_l2or_max	p_max	p_min	q_max	q_min
chr10	56357821	56357920	3427318	0	-	0.373737	(0.36,0.39]	chr10	337842	7	UTR3	UTR3:EXON_MRNA:EXON_LNCRNA	ZWINT	ENSG00000122952.17	ENST00000373944.8:ENST00000395405.5:ENST00000494312.5:ENST00000489649.6:ENST00000460654.5	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron:nonsense_mediated_decay:processed_transcript	0	62	2	6.19981	6.963915	7.72802	1.19537e-6	7.17617e-11	0.00289874	9.68231e-7
chr19	18434374	18434468	5245693	0	+	0.425532	(0.42,0.45]	chr19	554597	2	UTR3	UTR3:EXON_MRNA	SSBP4	ENSG00000130511.16	ENST00000348495.10:ENST00000270061.12:ENST00000593641.3	protein_coding	protein_coding	protein_coding	protein_coding	0	43	2	6.05104	6.450935	6.85083	2.67293e-6	2.78625e-8	0.00378801	4.64442e-5
chr19	3062396	3062495	5310111	0	-	0.79798	(0.586,1]	chr19	566435	3	UTR5	UTR5:EXON_MRNA	TLE5	ENSG00000104964.15	ENST00000327141.9	protein_coding	protein_coding	protein_coding	protein_coding	0	73	2	5.41531	6.298125	7.18094	8.26977e-5	1.26042e-8	0.0152461	2.94141e-5
chr17	58090770	58090869	4930196	0	+	0.464646	(0.45,0.49]	chr17	512571	16	UTR3	UTR3:EXON_MRNA	DYNLL2	ENSG00000264364.3	ENST00000579991.3	protein_coding	protein_coding	protein_coding	protein_coding	0	38	2	5.95693	6.2569099999999995	6.55689	4.40413e-6	1.68504e-7	0.00428141	1.27305e-4
chr11	72238849	72238948	3586770	0	+	0.525253	(0.49,0.53]	chr11	357853	6	UTR3	UTR3:EXON_MRNA	INPPL1	ENSG00000165458.14	ENST00000298229.7:ENST00000538751.5	protein_coding	protein_coding	protein_coding	protein_coding	0	41	2	5.72817	6.249475	6.77078	1.4142e-5	4.19646e-8	0.00705755	5.87589e-5
chr1	45618060	45618141	70026	0	+	0.555556	(0.53,0.586]	chr1	10506	1	CDS_STOP	CDS_STOP:CDS:EXON_MRNA:EXON_LNCRNA	NASP	ENSG00000132780.17	ENST00000350030.8:ENST00000351223.7:ENST00000530073.5:ENST00000481782.1:ENST00000531612.5:ENST00000534450.1:ENST00000472408.1	protein_coding	protein_coding	protein_coding	protein_coding:retained_intron:processed_transcript	0	40	2	6.03921	6.10074	6.16227	2.84744e-6	1.57158e-6	0.00289874	7.17084e-4
chr7	6656098	6656197	2403133	0	+	0.676768	(0.586,1]	chr7	241694	16	UTR3	UTR3:EXON_MRNA	ZNF316	ENSG00000205903.7	ENST00000382252.6	protein_coding	protein_coding	protein_coding	protein_coding	0	48	2	5.65789	5.936745	6.2156	2.85377e-5	2.22191e-6	0.00934646	6.29358e-4
chr9	136672263	136672286	3131070	0	+	0.521739	(0.49,0.53]	chr9	307587	1	CDS_STOP	CDS_STOP:CDS:EXON_MRNA	EGFL7	ENSG00000172889.16	ENST00000308874.12:ENST00000406555.7:ENST00000371698.3	protein_coding	protein_coding	protein_coding	protein_coding	0	31	2	5.72817	5.903370000000001	6.07857	1.4142e-5	2.48955e-6	0.00705755	6.65161e-4
chr9	136670949	136671014	3131053	0	+	0.584615	(0.53,0.586]	chr9	307577	1	CDS	CDS:EXON_MRNA	EGFL7	ENSG00000172889.16	ENST00000308874.12:ENST00000406555.7:ENST00000371698.3	protein_coding	protein_coding	protein_coding	protein_coding	0	36	2	5.57814	5.90183	6.22552	2.94528e-5	1.11659e-6	0.00290617	0.00289874
chr11	68050486	68050575	3578927	0	+	0.707865	(0.586,1]	chr11	356713	1	CDS	CDS:EXON_MRNA	TCIRG1	ENSG00000110719.10	ENST00000265686.8:ENST00000532635.5	protein_coding	protein_coding	protein_coding	protein_coding	0	46	2	5.58148	5.873575000000001	6.16567	4.01701e-5	2.84675e-6	0.0108908	7.17084e-4
