chr	start	end	name	score	strand	gc	gc_bin	chrom	feature_id	feature_bin	feature_type_top	feature_types	gene_name	gene_id	transcript_ids	gene_type_top	transcript_type_top	gene_types	transcript_types	input_sum	clip_sum	enrichment_n	enrichment_l2or_min	enrichment_l2or_mean	enrichment_l2or_max	p_max	p_min	q_max	q_min
chr19	44654217	44654317	5276448	0	+	0.71	(0.59,1]	chr19	559691	2	SS5_PROX	SS5_PROX:INTRON	PVR	ENSG00000073008.15	ENST00000344956.8:ENST00000187830.2	protein_coding	protein_coding	protein_coding	protein_coding:nonsense_mediated_decay	0	500	2	7.69888	8.489785	9.28069	1.08706e-5	4.56952e-9	0.00270138	2.62374e-5
chr19	49461458	49461518	5287551	0	+	0.683333	(0.59,1]	chr19	561675	2	SS3_PROX	SS3_PROX:INTRON	ALDH16A1	ENSG00000161618.10	ENST00000293350.9:ENST00000455361.6	protein_coding	protein_coding	protein_coding	protein_coding	0	412	2	8.0257	8.355319999999999	8.68494	4.40352e-6	3.68337e-8	0.00186461	8.37477e-5
chr22	35343740	35343838	5603996	0	+	0.479592	(0.453,0.49]	chr22	607249	46	INTRON	INTRON	TOM1	ENSG00000100284.22	ENST00000411850.5:ENST00000449058.7	protein_coding	protein_coding	protein_coding	protein_coding	0	147	2	7.0985	7.567015	8.03553	4.92316e-7	5.16999e-10	7.50882e-4	8.96771e-6
chr12	123510692	123510792	4036730	0	-	0.51	(0.49,0.53]	chr12	413546	108	INTRON	INTRON	RILPL1	ENSG00000188026.13	ENST00000636882.1	protein_coding	protein_coding	protein_coding	protein_coding	0	138	2	7.34287	7.419879999999999	7.49689	2.41937e-7	1.18206e-8	5.18402e-4	4.69326e-5
chr4	2650522	2650622	1444784	0	+	0.66	(0.59,1]	chr4	153254	33	INTRON	INTRON	FAM193A	ENSG00000125386.16	ENST00000637812.2	protein_coding	protein_coding	protein_coding	protein_coding	0	195	2	7.08032	7.2953600000000005	7.5104	5.79203e-5	2.03468e-6	0.00633809	9.40357e-4
chr17	75237882	75237981	5093513	0	-	0.565657	(0.53,0.59]	chr17	534492	14	UTR3	UTR3:EXON_MRNA	GGA3	ENSG00000125447.18	ENST00000537686.6	protein_coding	protein_coding	protein_coding	protein_coding	0	153	2	6.85085	7.262385	7.67392	6.66589e-7	2.13018e-7	4.9046e-4	4.37788e-4
chr19	49463255	49463353	5287571	0	+	0.704082	(0.59,1]	chr19	561686	1	INTRON	INTRON	ALDH16A1	ENSG00000161618.10	ENST00000293350.9:ENST00000455361.6	protein_coding	protein_coding	protein_coding	protein_coding	0	186	2	7.06414	7.230985	7.39783	6.04636e-5	2.95746e-6	0.00649394	0.0011796
chr12	123510393	123510493	4036727	0	-	0.51	(0.49,0.53]	chr12	413546	105	INTRON	INTRON	RILPL1	ENSG00000188026.13	ENST00000636882.1	protein_coding	protein_coding	protein_coding	protein_coding	0	118	2	7.16222	7.1895299999999995	7.21684	5.0957e-7	4.82428e-8	7.50882e-4	8.43247e-5
chr19	4035775	4035875	5217990	0	+	0.53	(0.49,0.53]	chr19	549029	18	INTRON	INTRON	PIAS4	ENSG00000105229.7	ENST00000262971.3	protein_coding	protein_coding	protein_coding	protein_coding	6	716	2	7.02559	7.1716999999999995	7.31781	6.0228e-10	8.03957e-12	2.21874e-5	3.51124e-7
chr10	131952685	131952785	3360074	0	+	0.58	(0.53,0.59]	chr10	332628	45	INTRON	INTRON	PPP2R2D	ENSG00000175470.20	ENST00000482010.6:ENST00000490777.3	protein_coding	retained_intron	protein_coding	retained_intron:nonsense_mediated_decay	0	132	2	7.11925	7.159845000000001	7.20044	1.74132e-6	1.40076e-7	0.00114551	1.58902e-4
